Player,Year,Team,Pos,G,AB,R,H,B2,B3,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
"Averill, E",1931,CLE,OF,155,627,140,209,36,10,32,143,68,38,9,9,0.333,0.404,0.576,0.979
"Banks, E",1959,CHC,1B,155,589,97,179,25,6,45,143,64,72,2,4,0.304,0.374,0.596,0.97
"Foxx, J",1936,BOS,1B,155,585,130,198,32,8,41,143,105,119,13,4,0.338,0.44,0.631,1.071
"Hornsby, R",1925,STL,2B,138,504,133,203,41,10,39,143,83,39,5,3,0.403,0.489,0.756,1.245
"Hurst, D",1932,PHI,1B,150,579,109,196,41,4,24,143,65,27,10,NaN,0.339,0.412,0.547,0.959
"Thomas, F",2000,CWS,1B,159,582,115,191,44,0,43,143,112,94,1,3,0.328,0.436,0.625,1.061
"Vaughn, M",1996,BOS,1B,161,635,118,207,29,1,44,143,95,154,2,0,0.326,0.42,0.583,1.003
"Campanella, R",1953,BRO,C,144,519,103,162,26,3,41,142,67,58,4,2,0.312,0.395,0.611,1.006
"Cepeda, O",1961,SF,1B,152,585,105,182,28,4,46,142,39,91,12,8,0.311,0.362,0.609,0.97
"Gehrig, L",1928,NYY,1B,154,562,139,210,47,13,27,142,95,69,4,11,0.374,0.467,0.648,1.115
"Gonzalez, L",2001,ARI,LF,162,609,128,198,36,7,57,142,100,83,1,1,0.325,0.429,0.688,1.117
"Palmeiro, R",1996,BAL,1B,162,626,110,181,40,2,39,142,95,96,8,0,0.289,0.381,0.546,0.927
"Rodriguez, A",2002,TEX,SS,162,624,125,187,27,2,57,142,87,122,9,4,0.3,0.392,0.623,1.015
"Ruth, B",1928,NYY,OF,154,536,163,173,29,8,54,142,137,87,4,5,0.323,0.463,0.709,1.172
"Trosky, H",1934,CLE,1B,154,625,117,206,45,9,35,142,58,49,2,2,0.33,0.388,0.598,0.987
"Williams, M",1999,ARI,3B,154,627,98,190,37,2,35,142,41,93,2,0,0.303,0.344,0.536,0.88
"Bichette, D",1996,COL,LF,159,633,114,198,39,3,31,141,45,105,31,12,0.313,0.359,0.531,0.89
"Boone, B",2001,SEA,2B,158,623,118,206,37,3,37,141,40,110,5,5,0.331,0.372,0.578,0.95
"Fielder, P",2009,MIL,1B,162,591,103,177,35,3,46,141,110,138,2,3,0.299,0.412,0.602,1.014
"Gentile, J",1961,BAL,1B,148,486,96,147,25,2,46,141,96,106,1,1,0.302,0.423,0.646,1.069
"Howard, R",2009,PHI,1B,160,616,105,172,37,4,45,141,75,186,8,1,0.279,0.36,0.571,0.931
"Kluszewski, T",1954,CIN,1B,149,573,104,187,28,3,49,141,78,35,0,2,0.326,0.407,0.642,1.049
"Maris, R",1961,NYY,OF,161,590,132,159,16,4,61,141,94,67,0,0,0.269,0.372,0.62,0.993
"Martinez, T",1997,NYY,1B,158,594,96,176,31,2,44,141,75,75,3,1,0.296,0.371,0.577,0.948
"Mays, W",1962,SF,OF,162,621,130,189,36,5,49,141,78,85,18,2,0.304,0.384,0.615,0.999
"Sosa, S",1999,CHC,RF,162,625,114,180,24,2,63,141,78,171,7,8,0.288,0.367,0.635,1.002
"Thompson, S",1894,PHI,OF,99,437,108,178,29,27,13,141,40,13,24,NaN,0.407,0.458,0.686,1.145
"Wilson, P",2003,COL,CF,155,600,94,169,43,1,36,141,54,139,14,7,0.282,0.343,0.537,0.88
"Colavito, R",1961,DET,OF,163,583,129,169,30,2,45,140,113,75,1,2,0.29,0.402,0.58,0.982
"DiMaggio, J",1938,NYY,OF,145,599,129,194,32,13,32,140,59,21,6,1,0.324,0.386,0.581,0.967
"Galarraga, A",1997,COL,1B,154,600,120,191,31,3,41,140,54,141,15,8,0.318,0.389,0.585,0.974
"Gonzalez, J",2001,CLE,RF,140,532,97,173,34,1,35,140,41,94,1,0,0.325,0.37,0.59,0.96
"Griffey, K",1996,SEA,CF,140,545,125,165,26,2,49,140,78,104,16,1,0.303,0.392,0.628,1.02
"Killebrew, H",1969,MIN,3B,162,555,106,153,20,2,49,140,145,84,8,2,0.276,0.427,0.584,1.011
"Baylor, D",1979,CAL,DH,162,628,120,186,33,3,36,139,71,51,22,12,0.296,0.371,0.53,0.901
"Cabrera, M",2012,DET,1B,161,622,109,205,40,0,44,139,66,98,4,1,0.33,0.393,0.606,0.999
"Gehrig, L",1933,NYY,1B,152,593,138,198,41,12,32,139,92,42,9,13,0.334,0.424,0.605,1.03
"Greenberg, H",1934,DET,1B,153,593,118,201,63,7,26,139,63,93,9,5,0.339,0.404,0.6,1.005
"Heilmann, H",1921,DET,OF,149,602,114,237,43,14,19,139,53,37,2,6,0.394,0.444,0.606,1.051
"Ordonez, M",2007,DET,RF,157,595,117,216,54,0,28,139,76,79,4,1,0.363,0.434,0.595,1.029
"Ortiz, D",2004,BOS,DH,150,582,94,175,47,3,41,139,75,133,0,0,0.301,0.38,0.603,0.983
"Rice, J",1978,BOS,OF,163,677,121,213,25,15,46,139,58,126,7,5,0.315,0.37,0.6,0.97
"Bonura, Z",1936,CWS,1B,148,587,120,194,39,7,12,138,94,29,4,2,0.33,0.426,0.482,0.908
"Buhner, J",1996,SEA,RF,150,564,107,153,29,0,44,138,84,159,0,1,0.271,0.369,0.557,0.926
"Davis, C",2013,BAL,1B,160,584,103,167,42,1,53,138,72,199,4,1,0.286,0.37,0.634,1.004
"Goslin, G",1930,STL,OF,148,584,115,180,36,12,37,138,67,54,17,11,0.308,0.382,0.601,0.983
"Medwick, J",1936,STL,OF,155,636,115,223,64,13,18,138,34,33,3,NaN,0.351,0.387,0.577,0.964
"Meusel, B",1925,NYY,OF,156,624,101,181,34,12,33,138,54,55,13,14,0.29,0.348,0.542,0.889
"Mize, J",1947,NYG,1B,154,586,137,177,26,2,51,138,74,42,2,NaN,0.302,0.384,0.614,0.998
"Sosa, S",2000,CHC,RF,156,604,106,193,38,1,50,138,91,168,7,4,0.32,0.406,0.634,1.04
"Alexander, D",1929,DET,1B,155,626,110,215,43,15,25,137,56,63,5,9,0.343,0.397,0.58,0.977
"Bonds, B",2001,SF,LF,153,476,129,156,32,2,73,137,177,93,13,3,0.328,0.515,0.863,1.379
"Bottomley, J",1929,STL,1B,146,560,108,176,31,12,29,137,70,54,3,NaN,0.314,0.391,0.568,0.959
"Cabrera, M",2013,DET,1B,148,555,103,193,26,1,44,137,90,94,3,0,0.348,0.442,0.636,1.078
"Dawson, A",1987,CHC,OF,153,621,90,178,24,2,49,137,32,103,11,3,0.287,0.328,0.568,0.896
"Delahanty, E",1899,PHI,OF,146,581,135,238,55,9,9,137,55,NaN,30,NaN,0.41,0.464,0.582,1.046
"Delgado, C",2000,TOR,1B,162,569,115,196,57,1,41,137,123,104,0,1,0.344,0.47,0.664,1.134
"Giambi, J",2000,OAK,1B,152,510,108,170,29,1,43,137,137,96,2,0,0.333,0.476,0.647,1.123
"Holliday, M",2007,COL,LF,158,636,120,216,50,6,36,137,63,126,11,4,0.34,0.405,0.607,1.012
"Klein, C",1932,PHI,OF,154,650,152,226,50,15,38,137,60,49,20,NaN,0.348,0.404,0.646,1.05
"Mize, J",1940,STL,1B,155,579,111,182,31,13,43,137,82,49,7,NaN,0.314,0.404,0.636,1.039
"Ortiz, D",2006,BOS,DH,151,558,115,160,29,2,54,137,119,117,1,0,0.287,0.413,0.636,1.049
"Pujols, A",2006,STL,1B,143,535,119,177,33,1,49,137,92,50,7,2,0.331,0.431,0.671,1.102
"Ruth, B",1932,NYY,OF,133,457,120,156,13,5,41,137,130,62,2,2,0.341,0.489,0.661,1.15
"Ruth, B",1920,NYY,OF,142,458,158,172,36,9,54,137,150,80,14,14,0.376,0.532,0.847,1.379
"Stephens, V",1948,BOS,SS,155,635,114,171,25,8,29,137,77,56,1,0,0.269,0.35,0.471,0.821
"Torre, J",1971,STL,3B,161,634,97,230,34,8,24,137,63,70,4,1,0.363,0.421,0.555,0.976
"Williams, T",1942,BOS,OF,150,522,141,186,34,5,36,137,145,51,3,2,0.356,0.499,0.648,1.147
"Berkman, L",2006,HOU,1B,152,536,95,169,29,0,45,136,98,106,3,2,0.315,0.42,0.621,1.041
"Bottomley, J",1928,STL,1B,149,576,123,187,42,20,31,136,71,54,10,NaN,0.325,0.402,0.628,1.03
"Davis, G",1897,NYG,SS,130,519,112,183,31,10,10,136,41,NaN,65,NaN,0.353,0.407,0.509,0.916
