playerID,name,pos,height,weight,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
pricebr01,Hartley Price,G,73,165,418,7007,2481,175,509,684,1236,313,16,626,759,1918,818,585,482,938,363
pricema01,William Price,G,72,170,427,12283,6402,208,866,1074,2884,489,48,1075,583,4875,2255,1366,1256,1625,636
princta01,Tayshaun Prince,F-G,81,215,661,22053,8513,865,2231,3096,1771,392,395,798,908,7341,3409,1644,1256,1193,439
profila01,Bronta Profit,G-F,76,204,135,1537,441,52,157,209,166,70,25,116,138,413,173,104,74,89,21
quinnbr01,Brian Quinnett,F,80,235,107,1337,434,81,115,196,65,38,21,68,132,427,182,62,42,84,28
radmavl01,Vladimir Radmanovic,F,82,227,663,15262,5628,610,2003,2613,935,508,244,795,1461,4938,2062,775,588,2405,916
rambiku01,Darrell Rambis,F,80,213,238,2933,701,271,551,822,202,105,75,146,399,527,265,251,171,5,0
randama01,Mark Randall,F,79,230,127,883,332,79,81,160,56,24,8,53,95,289,128,97,70,39,6
rasmubl01,Blair Rasmussen,C,84,250,173,4576,1675,284,842,1126,182,92,190,144,601,1691,782,146,102,34,9
ratlith01,Theophalus Ratliff,F-C,82,225,810,20497,5809,1543,3053,4596,465,393,1969,1001,2288,4451,2207,1965,1395,2,0
recasel01,Eldridge Recasner,G,75,190,296,5121,1732,131,403,534,522,129,12,305,403,1478,629,265,235,584,239
reedju01,Justin Reed,F,80,240,136,1436,472,76,110,186,68,31,19,79,219,431,174,165,124,4,0
reevebr01,Bryant Reeves,C,84,275,395,12071,4945,856,1889,2745,623,200,302,744,1365,4208,1999,1345,945,27,2
reiddo01,Don Reid,F,80,250,403,5374,1454,437,732,1169,143,182,282,253,1135,1099,583,438,288,1,0
respesh01,Shawn Respert,G,73,195,172,2350,851,81,145,226,177,91,7,125,192,760,315,152,124,285,97
reynoje01,Jerry Reynolds,G-F,80,198,145,3193,1645,148,333,481,366,173,79,284,212,1364,562,629,507,68,14
ricegl01,Glen Rice,F-G,79,214,923,32674,17288,846,3189,4035,1959,891,238,1620,2163,13796,6306,3689,3134,3827,1542
richaja01,Jason Richardson,G-F,78,220,751,26302,13496,967,2891,3858,2088,889,325,1401,1787,11571,5118,2591,1842,3803,1418
richapo01,Jerome Richardson,G,73,180,557,16818,6145,380,1210,1590,3626,684,86,1024,986,5942,2620,864,570,1004,335
rideris01,Isaiah Rider,G-F,77,215,563,17851,9405,676,1490,2166,1535,367,136,1425,1327,8085,3583,1935,1572,1896,667
riverda01,David Rivers,G,72,170,15,122,30,10,9,19,21,7,1,17,14,30,10,11,10,1,0
riverdo01,Glenn Rivers,G,76,185,375,8852,3217,145,733,878,1363,545,122,477,966,2766,1157,788,639,793,264
robinbe01,Bernard Robinson,G-F,78,210,128,1909,576,86,229,315,126,109,16,110,215,508,212,187,147,31,5
robinda01,David Robinson,C,85,235,905,31269,18797,2780,6734,9514,2277,1250,2635,2160,2576,12921,6675,7364,5422,98,25
robined01,Eddie Robinson,G-F,80,204,278,5344,1938,241,523,764,252,216,91,215,345,1681,852,306,226,32,8
robingl01,Glenn Robinson,F,79,225,688,25346,14234,1027,3162,4189,1879,826,389,2147,1847,12129,5571,3016,2472,1823,620
robinna01,Nathaniel Robinson,G,69,180,397,9120,4468,303,728,1031,1024,342,23,569,983,3767,1602,944,749,1459,515
robinru01,Rumeal Robinson,G,74,195,336,6098,2546,164,442,606,1179,301,54,580,599,2345,1014,665,406,326,112
rogerca01,Carlos Rogers,C-F,82,220,298,5654,2196,503,769,1272,182,128,235,297,515,1658,888,690,388,124,32
rogerro02,Roy Rogers,F,82,235,137,2309,652,180,303,483,57,26,209,101,268,596,288,141,75,2,1
rollitr01,Wayne Rollins,C,85,235,234,2008,322,150,314,464,47,36,168,78,281,255,120,117,82,2,0
rondora01,Rajon Rondo,F,73,171,384,12274,4099,439,1248,1687,2903,748,54,973,879,3496,1699,1041,648,219,53
roseja01,Jalen Rose,G,80,210,923,27926,13220,491,2702,3193,3527,729,315,2102,2408,10945,4852,3457,2770,2102,746
