bioID,useFirst,lastName,pos,height,weight,college,hsState,race,GP,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
grahast01,Stephen,Graham,G,78,215,Oklahoma State,FL,B,240,12.3292,4.1,0.3292,1.4875,0.5,0.2375,0.1,0.6542,1.4708,3.6,1.6,0.875,0.675,0.725,0.225
grangda01,Danny,Granger,F,80,225,New Mexico,LA,B,509,33.2318,18.2456,1.2141,4.0039,2.0295,1.0472,0.888,2.0079,2.9293,14.053,6.1611,4.833,4.0943,4.7564,1.8291
grantbr01,Brian,Grant,F,81,250,Xavier (OH),OH,B,756,28.3294,10.4934,2.4259,5.0106,1.2209,0.6019,0.7421,1.6336,3.1865,8.3757,4.1045,3.0503,2.2765,0.037,0.0079
grantga01,Gary,Grant,G,75,185,Michigan,OH,B,437,20.9359,6.7437,0.476,1.4691,4.7254,1.3021,0.1259,1.8398,2.0824,6.3913,2.8879,0.9771,0.7735,0.6842,0.1945
grantgr01,Greg,Grant,G,67,140,Trenton State,NJ,B,207,12.9082,2.7005,0.2319,0.6812,2.8164,0.6039,0.0338,0.744,1.0821,2.9179,1.1159,0.3816,0.285,0.628,0.1836
grantha01,Harvey,Grant,F,80,195,Oklahoma,GA,B,631,27.6878,10.6513,1.5166,3.1284,1.599,0.8114,0.5642,0.9525,2.2615,9.7417,4.5642,1.9873,1.42,0.3708,0.103
grantho01,Horace,Grant,F-C,82,215,Clemson,GA,B,925,33.7643,11.1924,3.0659,5.2432,2.2605,0.9881,1.013,1.0584,2.3027,9.2476,4.6854,2.6119,1.8173,0.0605,0.0043
grayaa01,Aaron,Gray,C,84,270,Pittsburgh,PA,W,239,12.4937,3.6904,1.4268,2.5314,0.636,0.3222,0.3096,0.8285,2.2134,2.9833,1.5272,1.1172,0.636,0.0084,0
grayeje01,Jeff,Grayer,F-G,76,200,Iowa State,MI,B,356,18.6798,7.382,1.309,1.618,1.4213,0.5983,0.1517,1.0758,1.6629,6.6433,3.0337,1.8455,1.2191,0.3567,0.0955
greenac01,A.C.,Green,F-C,81,220,Oregon State,OR,B,871,28.6051,9.0379,2.5476,4.7038,1.1206,0.7658,0.3065,1.008,1.6682,6.915,3.3421,3.0918,2.2319,0.4742,0.1217
greendo01,Donte,Greene,F,83,226,Syracuse,MD,B,253,16.8419,6.0909,0.5534,1.8182,0.7233,0.4387,0.4585,0.8775,1.4743,5.6957,2.3123,1.1621,0.8142,2.1423,0.6522
greenge01,Gerald,Green,F,80,200,none,TX,B,212,17.316,8.3113,0.566,1.6792,0.8443,0.4717,0.2547,1.2358,1.9575,7.2075,3.1179,1.5755,1.2594,2.2311,0.816
greenje02,Jeff,Green,F,81,228,Georgetown,MD,B,315,33.6,13.8635,1.2857,4.2603,1.6381,0.9016,0.6,1.7937,2.6381,11.7651,5.2381,3.2127,2.4825,2.6857,0.9048
greenli01,Litterial,Green,G,73,185,Georgia,MS,B,148,8.0338,2.8581,0.1622,0.3446,1.2297,0.3311,0.0405,0.527,0.8378,2.3176,0.973,1.3514,0.8986,0.1757,0.0135
greenor01,Orien,Greene,G,76,208,Louisiana-Lafayette,FL,B,131,11.8779,2.4885,0.374,1.1145,1.1832,0.7481,0.1145,1.0992,1.7405,2.5038,0.9695,0.7252,0.4656,0.3969,0.084
greenri01,Rickey,Green,G,72,170,Michigan,IL,B,105,24.9048,8.5619,0.3429,1.1905,4.581,0.7048,0.0667,1.2,1.5048,7.8571,3.619,1.5143,1.2381,0.381,0.0857
greensi02,Sidney,Green,F-C,81,220,UNLV,NY,B,185,13.8108,4.8811,1.2,2.9784,0.6054,0.3622,0.1568,0.9243,1.9297,4.4162,1.9351,1.2162,1.0108,0.027,0
greenwi01,Willie,Green,G,76,200,Detroit Mercy,MI,B,552,21.3279,9.1123,0.3605,1.5417,1.5308,0.5707,0.1449,1.0725,1.7862,8.5489,3.6576,1.4946,1.1395,1.9674,0.6576
griffad01,Adrian,Griffin,G-F,77,215,Seton Hall,KS,B,477,16.761,4.0231,1.0629,2.1069,1.369,0.914,0.1237,0.6939,1.8428,3.761,1.6457,0.8218,0.6268,0.3774,0.1048
griffbl01,Blake,Griffin,F,82,251,Oklahoma,OK,B,148,37.1892,21.7095,3.2973,8.2297,3.527,0.7905,0.6284,2.5203,3.1622,16.2027,8.4932,7.8581,4.6622,0.2703,0.0608
griffed01,Eddie,Griffin,F,81,220,Seton Hall,PA,B,303,22.1848,7.165,1.6403,4.1155,0.7789,0.3465,1.7096,0.7492,1.67,7.4686,2.8185,1.1122,0.7459,2.4818,0.7822
guglito01,Tom,Gugliotta,F,82,240,North Carolina State,NY,W,763,30.8729,12.9685,2.0904,5.2346,2.8047,1.4142,0.6448,2.2726,2.4679,11.2503,5.0734,3.3683,2.5491,0.9594,0.2726
haddaha01,Hamed,Haddadi,C,86,254,none,,W,121,6.0661,2.1074,0.7769,1.3802,0.2562,0.0413,0.5372,0.5041,1.2314,1.6446,0.7851,0.8099,0.5372,0.0413,0
haleyja01,Jack,Haley,C-F,82,240,UCLA,CA,W,223,8.5874,3.1794,0.9148,1.5561,0.2063,0.139,0.1614,0.5291,1.5605,2.6771,1.1614,1.3677,0.8565,0.009,0
hamda01,Darvin,Ham,F,79,220,Texas Tech,MI,B,417,12.4173,2.7314,1.1319,1.1775,0.5492,0.3261,0.3693,0.7386,1.8369,2.0528,1.0624,1.2086,0.5971,0.0384,0.0096
hamilri01,Richard,Hamilton,G-F,78,185,Connecticut,PA,B,871,32.682,17.4719,0.8932,2.2859,3.4512,0.7922,0.1447,2.1734,2.5672,14.7107,6.6188,4.2801,3.6441,1.6969,0.5901
hamilze01,Zendon,Hamilton,F-C,83,240,St. Johns (NY),NY,B,133,11.7218,4.3985,1.3835,2.1053,0.2481,0.2932,0.2105,0.812,1.6165,3.0075,1.3233,2.6541,1.7519,0,0
hammoto01,Tom,Hammonds,F,81,215,Georgia Tech,FL,B,626,15.3578,5.2652,1.0735,2.2412,0.5224,0.2492,0.1949,0.7716,1.8307,4.2252,2.0463,1.6869,1.1725,0.016,0
hancoda01,Darrin,Hancock,G-F,79,205,Kansas,GA,B,133,10.4887,3.5113,0.4361,0.8346,0.6692,0.4211,0.0752,0.7293,1.1805,2.782,1.4737,0.9474,0.5489,0.0451,0.015
hansbty01,Tyler,Hansbrough,F,81,250,North Carolina,MO,W,165,21.1394,9.8606,1.9273,2.8848,0.6,0.6545,0.1939,0.9818,2.3576,7.9818,3.3939,3.903,3.0727,0.0424,0
hansebo01,Bob,Hansen,G,78,190,Iowa,IA,W,104,15.5769,3.8654,0.4808,1.1827,1.5288,0.4519,0.0769,0.5962,1.9808,4.1731,1.6827,0.5577,0.25,0.9231,0.25
hardaan01,Anfernee,Hardaway,G-F,79,195,Memphis State,TN,B,704,33.6847,15.1761,1.3849,3.0838,5.0071,1.598,0.4432,2.5369,2.2188,12.402,5.6747,4.0213,3.1122,2.2599,0.7145
hardati01,Tim,Hardaway,G,72,175,UTEP,IL,B,788,35.486,18.0343,0.618,2.6117,8.1294,1.6028,0.1485,2.8185,2.2779,15.3439,6.5685,3.7906,2.9695,5.4074,1.9277
hardeja01,James,Harden,G,77,220,Arizona State,CA,B,220,26.6955,12.7045,0.5409,2.8727,2.4636,1.0636,0.2682,1.5864,2.5318,8.5955,3.8182,4.3273,3.6136,3.9273,1.4545
harpede01,Derek,Harper,G,76,185,Illinois,FL,B,634,31.7713,13.0662,0.4716,1.6893,4.9527,1.3738,0.1514,1.918,2.2871,11.2334,4.9432,2.7886,2.0599,3.1009,1.1199
harpero01,Ron,Harper,G-F,78,185,Miami (OH),OH,B,753,29.332,11.7304,1.1859,2.9031,3.4861,1.4861,0.6348,1.8831,2.1129,10.3772,4.4675,3.0491,2.1886,2.0319,0.6069
harprma01,Matt,Harpring,F,79,231,Georgia Tech,GA,W,665,26.4421,11.4962,1.9263,3.1353,1.3639,0.7474,0.1684,1.5038,2.6286,9.0722,4.3609,3.3669,2.5368,0.7128,0.2376
harrial01,Al,Harrington,F,81,230,none,NJ,B,937,29.2209,13.8324,1.5731,4.1633,1.7204,0.8965,0.2615,1.9178,3.1793,11.7972,5.2572,3.1921,2.3202,2.825,0.9979
harrida01,David,Harrison,C,84,250,Colorado,TN,B,189,14.2381,5.0212,0.9735,1.9312,0.2487,0.3386,0.9788,1.1429,2.8466,3.7302,1.9788,2.0265,1.0635,0,0
harride01,Devin,Harris,G,75,185,Wisconsin,WI,B,543,28.1105,13.0626,0.3867,2.0276,5.0239,1.1842,0.2155,2.2007,2.4549,9.825,4.337,4.6096,3.6924,2.2081,0.6961
harriju01,Junior,Harrington,G,76,180,Wingate,NC,B,140,22.1143,5.2357,0.4929,2.2286,3.0571,0.9,0.1786,1.7857,2.8643,5.5857,2.0714,1.3786,0.95,0.5214,0.1429
